<! Entity=北京 type=短期日内母线负荷预测   createTime='2019-05-23 14:04:02' !>
<StSysLf::北京>
@ID NAME V01 V02 V03 V04 V05 V06 V07 V08 V09 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23 V24 V25 V26 V27 V28 V29 V30 V31 V32 V33 V34 V35 V36 V37 V38 V39 V40 V41 V42 V43 V44 V45 V46 V47 V48 V49 V50 V51 V52 V53 V54 V55 V56 V57 V58 V59 V60 V61 V62 V63 V64 V65 V66 V67 V68 V69 V70 V71 V72 V73 V74 V75 V76 V77 V78 V79 V80 V81 V82 V83 V84 V85 V86 V87 V88 V89 V90 V91 V92 V93 V94 V95 V96
#1 酒仙桥/220kV.4#主变-高 43.7781 43.6472 44.0753 43.0563 43.6488 43.3739 44.5421 44.5084 44.0136 45.3759 45.3744 45.5681 44.2209 47.0182 43.7673 45.4058 43.9951 44.6778 43.7196 44.3673 43.3818 46.0552 44.8006 45.728 44.9907 44.7388 44.4131 44.0998 43.8826 42.0832 40.4231 40.2642 38.5837 37.4323 36.2065 34.8884 34.326 33.6846 32.4797 31.085 26.1161 25.3125 24.5089 24.2411 23.8393 23.4375 22.9018 22.7678 22.3661 22.2321 21.8303 21.6964 21.6964 21.7266 21.4718 21.5816 21.6738 21.766 21.6277 21.8303 22.2321 22.6339 23.4375 24.2411 25.3125 27.0536 28.125 30.6696 29.3303 31.875 30.8036 33.75 36.9643 35.625 37.9018 38.9732 39.375 41.5178 41.9196 42.9911 42.7232 44.4643 46.0714 44.5982 45.2678 45.4018 45.1339 45.0 44.4643 43.6607 43.7946 44.0625 45.6696 44.8661 44.1964 44.3303
#2 草厂/220kV.1#主变-高 25.7973 25.4839 25.066 25.5883 27.3643 28.2001 28.3045 28.6179 29.1403 29.6626 28.409 28.2001 28.409 29.0358 27.1553 27.9911 28.9313 28.409 28.3045 28.9313 28.9313 29.7671 30.7073 31.2297 31.3341 31.3341 31.2297 29.976 30.3939 29.4537 29.2447 27.5732 27.2598 25.7973 24.2302 24.2302 23.3945 23.3945 22.7677 21.8274 19.272 18.744 18.876 18.744 19.404 17.292 16.236 16.5 16.236 15.312 15.576 17.028 17.16 17.16 15.708 15.84 14.52 14.916 16.5 17.424 17.16 19.008 19.536 19.008 20.46 20.988 21.384 22.176 21.78 21.648 22.176 22.836 25.74 26.004 26.796 25.872 27.06 28.38 29.304 29.7 30.228 29.304 31.02 30.888 31.02 29.436 28.776 26.796 26.004 26.928 26.268 25.476 24.948 26.664 27.456 27.852
#3 北宫/220kV.2#主变-高 2.4577 2.5268 2.528 2.5711 2.5938 2.5911 2.674 2.6755 2.6917 2.6975 2.6799 2.6988 2.6799 2.6849 2.7127 2.7218 2.74 2.6962 2.6847 2.73 2.7718 2.812 2.9301 2.9583 2.9718 2.9262 2.9265 2.8686 2.8586 2.7977 2.7272 2.6537 2.5384 2.4702 2.3615 2.279 2.2224 2.1346 2.0781 2.0339 1.9628 1.844 1.7648 1.8322 1.7807 1.6553 1.58 1.6262 1.6315 1.6724 1.6262 1.6645 1.5985 1.4758 1.518 1.617 1.5972 1.6672 1.5814 1.7305 1.786 1.8506 2.0618 2.0038 2.0064 2.046 2.1067 2.1239 2.141 2.178 2.1991 2.3087 2.4024 2.5766 2.6149 2.6822 2.7034 2.7218 2.8552 3.0294 2.8446 2.8274 2.8631 2.7971 2.6347 2.4882 2.4037 2.57 2.4948 2.5106 2.3232 2.2704 2.3773 2.3008 2.314 2.3813
#4 堰上/220kV.2#主变-高 52.3182 52.3179 52.2263 52.4542 52.5913 52.9093 53.0465 53.1826 53.1823 53.7059 54.0011 53.7057 53.5234 53.5232 53.0918 51.9314 52.9085 53.387 53.0915 53.9551 53.8871 53.9555 54.7283 54.2279 54.2737 54.3652 54.592 54.4107 54.0913 53.523 53.0459 51.8404 50.9537 50.112 49.2254 48.4065 48.6567 48.1334 47.9514 46.951 44.51 43.9816 43.2964 42.4776 41.9229 41.6861 41.5796 41.1573 41.1052 40.7346 40.4715 40.1281 39.9696 40.0223 40.0218 39.5469 39.6526 39.3887 39.3895 39.4416 39.8112 39.7054 40.5236 40.9471 41.7912 42.7942 43.2433 43.8242 45.144 45.9892 47.6514 49.6328 51.0042 52.9845 54.3842 54.8593 55.5194 56.4432 56.707 56.813 58.1327 57.5789 57.6316 58.4498 57.1032 56.3897 56.548 55.4659 54.9911 54.4369 54.8329 54.6746 55.4135 55.5186 55.4662 55.9945
#5 平谷/220kV.3#主变-高 43.132 42.4557 43.132 43.2673 43.8083 43.9436 44.0789 44.8905 45.5668 45.5668 46.3784 44.8905 44.8905 44.4847 45.161 46.7842 47.1901 47.0548 47.3253 47.4606 47.8664 47.3253 47.7311 48.0017 48.8133 48.8133 48.9485 48.4075 47.5959 46.1079 44.62 42.9967 41.5088 39.8856 38.1271 37.586 38.8034 37.9918 37.3155 35.0159 35.508 34.584 33.924 33.66 33.924 33.0 32.472 32.34 31.944 31.548 31.416 30.624 30.888 30.888 30.36 29.7 29.964 29.304 29.172 30.228 30.756 31.548 33.132 34.98 36.828 37.488 38.28 38.676 39.864 40.128 39.996 41.184 43.164 45.144 46.2 47.52 47.124 49.368 48.972 49.368 49.104 51.084 49.896 50.688 51.48 51.216 49.896 48.048 46.2 45.54 45.54 44.352 45.672 45.408 45.408 44.484
#6 李营牵引站/220kV.1#主变-高 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
#7 桃园/220kV.2#主变-高 3.8103 3.886 3.9617 3.9274 3.8932 3.9837 4.0741 4.7475 4.6362 5.0149 5.3935 5.1115 5.3782 5.6437 5.5762 4.8481 4.9882 4.6882 4.3882 3.8882 4.2819 4.1878 3.9905 3.9888 4.1395 4.315 4.6417 4.2822 3.9228 3.5938 3.6841 3.9196 3.4924 3.5607 3.3985 3.2059 3.1638 3.1839 3.0537 2.9223 1.9588 1.9442 1.9468 1.8655 2.2957 2.1387 1.8478 1.8562 1.7373 1.7047 1.7004 1.7168 2.1554 2.0608 1.7835 1.7098 1.6524 1.6433 1.7185 2.1709 2.0845 2.0919 2.1016 2.0719 2.1755 2.885 2.5121 3.0025 3.7728 3.2847 3.103 3.6245 6.5494 4.6351 7.6088 5.3579 4.0 5.3503 4.3486 5.2948 5.6981 5.1056 5.2369 5.5817 4.4553 7.356 4.0609 5.9854 3.8658 6.7714 3.8718 5.21 4.142 6.4614 3.7476 4.7211
#8 太阳宫/220kV.3#主变-高 49.2892 51.5676 48.6462 51.931 47.8775 50.9805 51.3579 52.1546 52.9374 53.0632 53.9717 50.7569 53.8879 50.1419 52.546 56.5996 49.2333 54.9362 48.814 45.8367 46.2841 51.8053 46.0603 44.6765 44.7605 43.3347 42.2165 45.4314 43.3068 42.1186 39.0436 39.1974 36.1642 32.9773 31.5376 28.3926 29.413 26.4147 23.4165 22.5778 25.7567 25.158 24.4679 23.8793 23.2805 23.1993 22.7122 22.5803 22.5498 22.3367 22.0525 22.0525 22.0627 21.677 21.6872 21.9003 22.1743 22.3266 21.9511 22.5904 23.2602 23.585 26.9542 27.6849 28.9839 31.5413 35.5905 34.667 38.7264 39.9341 38.9497 42.187 47.657 50.935 46.49 45.9318 49.8795 52.3964 50.4479 51.3409 52.4167 52.5486 51.4729 51.5134 56.6384 53.2082 53.4213 52.6095 51.4627 53.1981 50.9959 50.3768 55.5018 51.3409 51.5946 52.1122
#9 太阳宫/220kV.2#主变-高 65.3376 65.2994 65.1353 65.8426 64.8195 67.0061 67.322 66.9689 67.8281 66.8176 69.017 67.5255 69.8762 66.6032 67.2339 65.0721 68.8252 64.6293 63.1631 63.5933 64.8576 65.1226 68.1822 67.8019 64.8327 64.7185 65.4386 63.7707 63.024 64.7429 60.9127 59.7997 57.3713 55.0074 53.5778 51.5297 48.0399 46.0799 44.2592 42.7038 35.0435 33.6634 33.0243 32.4154 31.4619 30.8633 30.5488 29.8283 29.2399 29.2906 29.1283 28.7427 28.8036 28.418 28.4078 28.2352 28.4585 28.7832 28.0427 29.1181 29.6962 29.3618 33.0131 34.7174 37.3957 40.2665 41.6066 42.8852 45.4821 46.6082 48.3231 51.7517 56.67 55.7077 56.3979 58.6301 62.7075 60.7912 62.4949 62.201 62.5661 62.7084 62.8712 62.2122 64.9402 64.8797 66.2486 65.7728 64.3118 67.6887 63.095 62.1819 63.4903 63.2061 63.7839 64.1787
#10 华能电厂/220kV.1#启备变-高等值负荷 -0.0309 -0.032 -0.033 -0.0487 -0.0432 -0.0551 -0.0458 -0.0444 -0.0429 -0.0396 -0.0363 -0.0336 -0.04 -0.0551 -0.0449 -0.0328 -0.0253 -0.0319 -0.0284 -0.0248 -0.0212 -0.0177 -0.0139 -0.016 -0.0182 -0.0306 -0.043 -0.0421 -0.045 -0.0314 -0.0321 -0.0327 -0.0352 -0.0393 -0.0435 -0.0402 -0.0511 -0.0514 -0.0458 -0.0495 0.1742 0.1742 0.0 0.0 0.0 0.0 0.029 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0738 0.0 0.0 0.0 0.0 0.0 0.0 0.2078 0.2637 0.1958 0.2757 0.3556 0.3097 0.2637 0.2398 0.1718 0.1658 0.1598 0.2058 0.2517 0.2398 0.1998 0.1598 0.1838 0.2078 0.1558 0.2098 0.2333 0.2567
