<! Entity=北京 type=短期母线负荷预测 dataTime='2019-05-23 10:30:02' !>
<StBusLf::北京 planDate='20190524'>
@ id name  p0015 q0015 p0030 q0030 p0045 q0045 p0100 q0100 p0115 q0115 p0130 q0130 p0145 q0145 p0200 q0200 p0215 q0215 p0230 q0230 p0245 q0245 p0300 q0300 p0315 q0315 p0330 q0330 p0345 q0345 p0400 q0400 p0415 q0415 p0430 q0430 p0445 q0445 p0500 q0500 p0515 q0515 p0530 q0530 p0545 q0545 p0600 q0600 p0615 q0615 p0630 q0630 p0645 q0645 p0700 q0700 p0715 q0715 p0730 q0730 p0745 q0745 p0800 q0800 p0815 q0815 p0830 q0830 p0845 q0845 p0900 q0900 p0915 q0915 p0930 q0930 p0945 q0945 p1000 q1000 p1015 q1015 p1030 q1030 p1045 q1045 p1100 q1100 p1115 q1115 p1130 q1130 p1145 q1145 p1200 q1200 p1215 q1215 p1230 q1230 p1245 q1245 p1300 q1300 p1315 q1315 p1330 q1330 p1345 q1345 p1400 q1400 p1415 q1415 p1430 q1430 p1445 q1445 p1500 q1500 p1515 q1515 p1530 q1530 p1545 q1545 p1600 q1600 p1615 q1615 p1630 q1630 p1645 q1645 p1700 q1700 p1715 q1715 p1730 q1730 p1745 q1745 p1800 q1800 p1815 q1815 p1830 q1830 p1845 q1845 p1900 q1900 p1915 q1915 p1930 q1930 p1945 q1945 p2000 q2000 p2015 q2015 p2030 q2030 p2045 q2045 p2100 q2100 p2115 q2115 p2130 q2130 p2145 q2145 p2200 q2200 p2215 q2215 p2230 q2230 p2245 q2245 p2300 q2300 p2315 q2315 p2330 q2330 p2345 q2345 p2400 q2400
// 序号 母线负荷名 00:15有功预测值 00:15无功预测值 00:30有功预测值 00:30无功预测值 00:45有功预测值 00:45无功预测值 01:00有功预测值 01:00无功预测值 01:15有功预测值 01:15无功预测值 01:30有功预测值 01:30无功预测值 01:45有功预测值 01:45无功预测值 02:00有功预测值 02:00无功预测值 02:15有功预测值 02:15无功预测值 02:30有功预测值 02:30无功预测值 02:45有功预测值 02:45无功预测值 03:00有功预测值 03:00无功预测值 03:15有功预测值 03:15无功预测值 03:30有功预测值 03:30无功预测值 03:45有功预测值 03:45无功预测值 04:00有功预测值 04:00无功预测值 04:15有功预测值 04:15无功预测值 04:30有功预测值 04:30无功预测值 04:45有功预测值 04:45无功预测值 05:00有功预测值 05:00无功预测值 05:15有功预测值 05:15无功预测值 05:30有功预测值 05:30无功预测值 05:45有功预测值 05:45无功预测值 06:00有功预测值 06:00无功预测值 06:15有功预测值 06:15无功预测值 06:30有功预测值 06:30无功预测值 06:45有功预测值 06:45无功预测值 07:00有功预测值 07:00无功预测值 07:15有功预测值 07:15无功预测值 07:30有功预测值 07:30无功预测值 07:45有功预测值 07:45无功预测值 08:00有功预测值 08:00无功预测值 08:15有功预测值 08:15无功预测值 08:30有功预测值 08:30无功预测值 08:45有功预测值 08:45无功预测值 09:00有功预测值 09:00无功预测值 09:15有功预测值 09:15无功预测值 10:00有功预测值 10:00无功预测值 10:15有功预测值 10:15无功预测值 10:30有功预测值 10:30无功预测值 10:45有功预测值 10:45无功预测值 11:00有功预测值 11:00无功预测值 11:15有功预测值 11:15无功预测值 11:30有功预测值 11:30无功预测值 11:45有功预测值 11:45无功预测值 12:00有功预测值 12:00无功预测值 12:15有功预测值 12:15无功预测值 12:30有功预测值 12:30无功预测值 12:45有功预测值 12:45无功预测值 13:00有功预测值 13:00无功预测值 13:15有功预测值 13:15无功预测值 13:30有功预测值 13:30无功预测值 13:45有功预测值 13:45无功预测值 14:00有功预测值 14:00无功预测值 14:15有功预测值 14:15无功预测值 14:30有功预测值 14:30无功预测值 15:00有功预测值 15:00无功预测值 15:15有功预测值 15:00无功预测值 15:15有功预测值 15:15无功预测值 15:30有功预测值 15:30无功预测值 15:45有功预测值 15:45无功预测值 16:00有功预测值 16:00无功预测值 16:15有功预测值 16:15无功预测值 16:30有功预测值 16:30无功预测值 16:45有功预测值 16:45无功预测值 17:00有功预测值 17:00无功预测值 17:15有功预测值 17:15无功预测值 17:30有功预测值 17:30无功预测值 17:45有功预测值 17:45无功预测值 18:00有功预测值 18:00无功预测值 18:15有功预测值 18:15无功预测值 18:30有功预测值 18:30无功预测值 18:45有功预测值 18:45无功预测值 19:00有功预测值 19:00无功预测值 19:15有功预测值 19:30无功预测值 19:45有功预测值 19:45无功预测值 20:00有功预测值 20:00无功预测值 21:15有功预测值 21:15无功预测值 21:30有功预测值 21:30无功预测值 21:45有功预测值 21:45无功预测值 22:00有功预测值 22:00无功预测值 22:15有功预测值 22:15无功预测值 22:30有功预测值 22:30无功预测值 22:45有功预测值 22:45无功预测值 23:00有功预测值 23:00无功预测值 23:15有功预测值 23:15无功预测值 23:30有功预测值 23:30无功预测值 23:45有功预测值 23:45无功预测值 24:00有功预测值 24:00无功预测值
#  1  北京.团结湖/220kV.1#主变-高	30.8613  0	29.8343  0	29.3463  0	28.3752  0	27.8901  0	27.4032  0	26.8969  0	26.4131  0	25.9223  0	25.9223  0	25.4358  0	25.4358  0	25.4504  0	25.455  0	25.0209  0	24.783  0	25.2099  0	24.9481  0	24.9441  0	24.6383  0	25.8094  0	26.9045  0	27.469  0	29.7777  0	30.3266  0	32.5965  0	34.2258  0	34.4129  0	36.3875  0	38.1331  0	37.8575  0	40.8146  0	44.016  0	46.2433  0	48.0206  0	49.7979  0	52.6061  0	51.8896  0	56.9805  0	54.851  0	58.332  0	58.8882  0	59.0968  0	58.3189  0	59.0426  0	60.7785  0	60.2306  0	61.2347  0	59.6828  0	59.1174  0	58.9991  0	58.4154  0	57.5806  0	57.5698  0	58.0137  0	57.9048  0	59.2676  0	56.7024  0	57.0008  0	57.4912  0	58.8842  0	58.1244  0	58.1227  0	58.9458  0	58.668  0	59.4843  0	59.0709  0	59.427  0	60.2899  0	59.9961  0	57.7444  0	58.3139  0	57.0293  0	55.4764  0	54.4919  0	55.6664  0	56.2385  0	57.8079  0	58.4549  0	56.9738  0	56.5219  0	57.3291  0	53.4297  0	53.2308  0	52.5978  0	51.5309  0	50.0858  0	47.3389  0	45.6413  0	44.0488  0	42.0968  0	39.6448  0	37.8463  0	36.6664  0	35.3831  0	33.8803  0	
#  2  北京.石景山电厂/220kV.0乙#启备变-高等值负荷	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	
#  3  北京.榆管营/220kV.榆燕	64.3104  0	64.9769  0	64.3104  0	64.3104  0	63.9772  0	63.3108  0	63.9772  0	63.644  0	63.3162  0	62.9796  0	63.0178  0	60.6318  0	58.2459  0	56.18  0	54.1141  0	52.0481  0	49.9822  0	49.9822  0	49.649  0	49.9822  0	49.9822  0	50.3154  0	50.6486  0	50.9819  0	51.3151  0	51.6483  0	53.3144  0	55.5358  0	57.7572  0	59.9787  0	62.4778  0	64.9769  0	67.3094  0	67.9758  0	68.9754  0	68.6422  0	69.3087  0	68.6422  0	69.3087  0	69.6419  0	70.0271  0	70.1403  0	69.7948  0	70.6415  0	70.6415  0	70.9747  0	70.9747  0	69.6419  0	69.6419  0	69.1087  0	68.9548  0	68.8011  0	69.29  0	68.9535  0	68.9535  0	68.9754  0	69.3087  0	68.9754  0	69.6419  0	69.3087  0	69.6419  0	69.6419  0	68.9754  0	69.6419  0	69.3087  0	70.3083  0	70.6415  0	70.3083  0	69.9751  0	70.3083  0	69.9751  0	69.9751  0	70.0887  0	70.0412  0	70.3062  0	69.9751  0	70.3083  0	70.6415  0	71.3307  0	71.6753  0	71.7902  0	69.6419  0	70.3083  0	69.9751  0	69.6419  0	68.9754  0	68.9754  0	67.9758  0	67.3094  0	66.6429  0	65.9765  0	65.9765  0	65.3101  0	64.3104  0	64.9769  0	64.3104  0	
#  4  北京.八里庄/220kV.3#主变-高	35.2115  0	33.7195  0	32.8243  0	32.2275  0	31.6307  0	30.7355  0	30.4371  0	30.4371  0	30.1387  0	29.9272  0	29.6462  0	29.5766  0	29.6046  0	29.5117  0	29.7822  0	29.8393  0	29.8403  0	30.1387  0	30.1387  0	31.0339  0	32.2275  0	32.8243  0	34.6147  0	37.3003  0	37.8971  0	40.5828  0	41.7764  0	45.0588  0	48.0428  0	51.0269  0	54.6077  0	54.6077  0	57.4425  0	60.2773  0	61.471  0	65.0518  0	66.5438  0	67.439  0	69.5278  0	69.8262  0	69.8262  0	68.0358  0	70.7214  0	69.5278  0	69.5278  0	71.0198  0	70.1246  0	70.1246  0	68.931  0	68.0358  0	66.2454  0	65.6486  0	65.6486  0	65.947  0	66.5438  0	65.0518  0	67.1406  0	65.6486  0	64.7534  0	64.7534  0	66.5438  0	65.947  0	66.2454  0	68.3342  0	66.8422  0	68.0358  0	69.5278  0	67.7374  0	70.1246  0	68.3342  0	65.6486  0	63.8582  0	64.455  0	61.1726  0	64.7534  0	60.8742  0	59.9789  0	61.1726  0	61.7694  0	62.0678  0	61.7694  0	60.8742  0	57.8901  0	57.8901  0	55.5029  0	55.5029  0	52.5189  0	49.8333  0	48.6396  0	45.954  0	44.7604  0	43.8652  0	41.1796  0	39.6876  0	37.8971  0	37.3003  0	
#  5  北京.黄寺/220kV.2201未运行	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	
#  6  北京.韩村河/220kV.2#主变-高	31.3925  0	29.9533  0	30.1391  0	29.7235  0	28.4808  0	28.5368  0	28.1214  0	28.0305  0	28.446  0	27.8283  0	27.9428  0	27.5726  0	28.3976  0	28.3172  0	28.5184  0	28.0643  0	28.0891  0	28.8049  0	29.6783  0	29.9805  0	32.6155  0	31.4153  0	33.2712  0	34.2225  0	36.2737  0	36.209  0	36.2805  0	34.9406  0	35.3842  0	35.7665  0	38.0883  0	37.2362  0	36.5373  0	37.3386  0	36.4277  0	36.5793  0	38.0068  0	37.4559  0	37.1595  0	36.2854  0	37.6275  0	37.999  0	37.5741  0	37.7087  0	37.9069  0	37.1024  0	36.0678  0	37.2006  0	34.7336  0	34.3245  0	32.2491  0	34.133  0	34.178  0	34.1445  0	35.4125  0	35.5107  0	34.6423  0	34.8317  0	36.8082  0	34.8934  0	34.4036  0	35.6039  0	35.6937  0	37.4747  0	36.5061  0	38.9728  0	39.295  0	38.5318  0	40.2525  0	39.8736  0	39.2436  0	38.7736  0	38.4435  0	40.8928  0	41.5092  0	38.739  0	39.8901  0	39.4201  0	40.5394  0	40.5298  0	39.9393  0	42.228  0	42.6821  0	41.5569  0	40.3203  0	40.6323  0	40.7391  0	38.8822  0	38.037  0	36.4104  0	35.5308  0	35.0768  0	34.0725  0	33.1071  0	31.4467  0	31.3295  0	
#  7  北京.望京/220kV.2214待用	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	0.0  0	
#  8  北京.石景山电厂/220kV.0甲#启备变-高等值负荷	0.3935  0	0.3935  0	0.3935  0	0.3935  0	0.3871  0	0.3808  0	0.3808  0	0.4217  0	0.4465  0	0.4636  0	0.4399  0	0.4001  0	0.3603  0	0.4431  0	0.526  0	0.6089  0	0.737  0	0.8651  0	0.9931  0	1.015  0	1.0911  0	1.1414  0	1.0006  0	0.9856  0	1.0085  0	1.1182  0	1.2927  0	1.4894  0	1.391  0	1.5572  0	1.4155  0	1.3829  0	1.5309  0	1.4407  0	1.2722  0	1.1408  0	1.0328  0	0.8891  0	0.9115  0	1.0128  0	1.015  0	1.1953  0	1.3581  0	1.4832  0	1.374  0	1.4634  0	1.6878  0	1.6479  0	1.5627  0	1.452  0	1.3873  0	1.3156  0	1.3809  0	1.4187  0	1.4466  0	1.381  0	1.5121  0	1.5193  0	1.4826  0	1.3001  0	1.1177  0	1.2987  0	1.1623  0	0.9895  0	1.0242  0	1.1072  0	1.2783  0	1.1475  0	1.329  0	1.1836  0	1.3038  0	1.3534  0	1.5083  0	1.4582  0	1.4204  0	1.4322  0	1.5802  0	1.5258  0	1.3967  0	1.4128  0	1.5069  0	1.528  0	1.5567  0	1.5042  0	1.3471  0	1.4049  0	1.4107  0	1.3331  0	1.2846  0	1.2643  0	1.2206  0	1.0654  0	1.1823  0	1.1883  0	1.0426  0	1.016  0	
#  9  北京.西北旺/220kV.4#主变-高	27.7716  0	27.171  0	26.8536  0	26.3502  0	25.9085  0	25.7099  0	25.5321  0	25.5627  0	25.394  0	24.9801  0	24.8863  0	24.9218  0	25.1023  0	24.9329  0	24.8988  0	24.7961  0	24.9634  0	24.9468  0	25.2509  0	25.0183  0	25.3988  0	25.8898  0	26.7508  0	27.4036  0	29.2875  0	28.8709  0	30.9673  0	32.5624  0	33.1839  0	33.0762  0	33.2436  0	33.7623  0	34.7432  0	35.724  0	38.5308  0	37.7857  0	38.7774  0	38.9017  0	41.2113  0	39.5857  0	41.3863  0	40.1815  0	41.0592  0	39.3246  0	39.9711  0	39.0614  0	39.6551  0	39.5308  0	38.3954  0	38.5267  0	38.5982  0	38.3753  0	38.1399  0	38.2086  0	38.344  0	38.6072  0	39.8551  0	40.3169  0	38.9044  0	39.6836  0	38.7933  0	39.2759  0	40.4946  0	39.7843  0	39.5273  0	39.1989  0	39.0898  0	38.7419  0	37.7524  0	38.0718  0	39.7225  0	37.5427  0	36.6754  0	37.1969  0	36.3997  0	36.974  0	36.9997  0	36.5337  0	37.1823  0	36.9136  0	38.5899  0	36.7531  0	37.5739  0	36.1761  0	35.9087  0	35.6567  0	36.7156  0	34.8268  0	34.2026  0	33.5908  0	33.2221  0	30.6173  0	31.3228  0	30.675  0	29.8222  0	29.1757  0	
